Purchase ID,SN,Age,Gender,Item ID,Item Name,Price
0,Lisim78,20.0,Male,108.0,"Extraction, Quickblade Of Trembling Hands",3.53
1,Lisovynya38,40.0,Male,143.0,Frenzied Scimitar,1.56
2,Ithergue48,24.0,Male,92.0,Final Critic,4.88
3,Chamassasya86,24.0,Male,100.0,Blindscythe,3.27
4,Iskosia90,23.0,Male,131.0,Fury,1.44
5,Yalae81,22.0,Male,81.0,Dreamkiss,3.61
6,Itheria73,36.0,Male,169.0,"Interrogator, Blood Blade of the Queen",2.18
7,Iskjaskst81,20.0,Male,162.0,Abyssal Shard,2.67
8,Undjask33,22.0,Male,21.0,Souleater,1.1
9,Chanosian48,35.0,Other / Non-Disclosed,136.0,Ghastly Adamantite Protector,3.58
10,Inguron55,23.0,Male,95.0,Singed Onyx Warscythe,4.74
11,Haisrisuir60,23.0,Male,162.0,Abyssal Shard,2.67
12,Saelaephos52,21.0,Male,116.0,Renewed Skeletal Katana,4.18
13,Assjaskan73,22.0,Male,4.0,Bloodlord's Fetish,1.7
14,Saesrideu94,35.0,Male,165.0,Bone Crushing Silver Skewer,4.86
15,Lisassa64,21.0,Female,98.0,"Deadline, Voice Of Subtlety",2.89
16,Lisirra25,20.0,Male,40.0,Second Chance,2.52
17,Zontibe81,21.0,Male,161.0,Devine,1.76
18,Reunasu60,22.0,Female,82.0,Nirvana,4.9
19,Chamalo71,30.0,Male,89.0,"Blazefury, Protector of Delusions",4.64
20,Iathenudil29,20.0,Male,57.0,"Despair, Favor of Due Diligence",4.6
21,Phiarithdeu40,20.0,Male,168.0,"Sun Strike, Jaws of Twisted Visions",1.48
22,Siarithria38,38.0,Other / Non-Disclosed,24.0,Warped Fetish,3.81
23,Eyrian71,40.0,Male,151.0,Severance,3.4
24,Siala43,30.0,Male,141.0,Persuasion,3.19
25,Lisirra87,29.0,Male,178.0,"Oathbreaker, Last Hope of the Breaking Storm",4.23
26,Lirtossa84,11.0,Male,71.0,Demise,1.61
27,Eusri44,7.0,Male,96.0,Blood-Forged Skeletal Spine,3.09
28,Aela59,21.0,Male,119.0,"Stormbringer, Dark Blade of Ending Misery",4.32
29,Tyida79,24.0,Male,37.0,"Shadow Strike, Glory of Ending Hope",3.16
30,Idai61,19.0,Male,140.0,Striker,2.94
31,Farusrian86,37.0,Male,179.0,"Wolf, Promise of the Moonwalker",4.48
32,Aeralria27,10.0,Male,133.0,Faith's Scimitar,4.09
33,Haillyrgue51,7.0,Male,44.0,Bonecarvin Battle Axe,2.38
34,Sondim73,19.0,Male,160.0,Azurewrath,4.4
35,Jeyciman68,22.0,Male,53.0,Vengeance Cleaver,2.05
36,Idaisuir85,30.0,Male,76.0,Haunted Bronzed Bludgeon,3.15
37,Seuthep89,8.0,Male,73.0,Ritual Mace,2.05
38,Reulae52,10.0,Female,116.0,Renewed Skeletal Katana,4.18
39,Sondilsaya62,21.0,Male,172.0,Blade of the Grave,3.14
40,Aerithriaphos45,20.0,Male,143.0,Frenzied Scimitar,1.56
41,Assosia88,20.0,Female,7.0,"Thorn, Satchel of Dark Souls",1.33
42,Aidaillodeu39,18.0,Male,72.0,Winter's Bite,3.77
43,Aelly27,24.0,Male,116.0,Renewed Skeletal Katana,4.18
44,Tyeosri53,24.0,Male,9.0,"Thorn, Conqueror of the Corrupted",2.73
45,Haerith37,23.0,Male,181.0,Reaper's Toll,1.66
46,Yasrisu92,27.0,Male,102.0,Avenger,3.44
47,Chanuchi25,20.0,Male,170.0,Shadowsteel,3.97
48,Asur96,20.0,Male,138.0,"Peacekeeper, Wit of Dark Magic",4.74
49,Iaralrgue74,33.0,Male,110.0,Suspension,1.44
50,Saelaephos52,21.0,Male,22.0,Amnesia,2.18
51,Chanosia34,22.0,Male,15.0,Soul Infused Crystal,2.96
52,Aelin32,20.0,Male,60.0,Wolf,3.54
53,Ilosianya35,32.0,Male,176.0,Relentless Iron Skewer,2.84
54,Zhisrisu83,10.0,Male,25.0,Hero Cane,4.35
55,Phaelap26,25.0,Female,84.0,Arcane Gem,3.79
56,Raesty92,12.0,Male,108.0,"Extraction, Quickblade Of Trembling Hands",3.53
57,Palyon91,21.0,Male,80.0,Dreamsong,3.39
58,Tyisur83,23.0,Male,152.0,Darkheart,1.74
59,Yaliru88,19.0,Male,105.0,Hailstorm Shadowsteel Scythe,3.03
60,Yadanu52,34.0,Male,44.0,Bonecarvin Battle Axe,2.38
61,Jiskimya77,17.0,Male,178.0,"Oathbreaker, Last Hope of the Breaking Storm",4.23
62,Yadaphos40,30.0,Male,178.0,"Oathbreaker, Last Hope of the Breaking Storm",4.23
63,Alo38,20.0,Male,125.0,Whistling Mithril Warblade,1.0
64,Phaena87,20.0,Male,56.0,Foul Titanium Battle Axe,2.92
65,Chamirraya83,25.0,Male,34.0,Retribution Axe,2.22
66,Chanastsda67,21.0,Female,6.0,Rusty Skull,3.7
67,Lisim78,20.0,Male,138.0,"Peacekeeper, Wit of Dark Magic",4.74
68,Indonmol95,15.0,Male,27.0,"Riddle, Tribute of Ended Dreams",3.3
69,Jiskossa61,24.0,Male,37.0,"Shadow Strike, Glory of Ending Hope",3.16
70,Pheodai94,29.0,Male,143.0,Frenzied Scimitar,1.56
71,Hari50,20.0,Female,29.0,"Chaos, Ender of the End",1.98
72,Marilsa69,25.0,Female,178.0,"Oathbreaker, Last Hope of the Breaking Storm",4.23
73,Assistasda42,21.0,Male,68.0,"Storm-Weaver, Slayer of Inception",4.32
74,Lisosia93,25.0,Male,89.0,"Blazefury, Protector of Delusions",4.64
75,Philodil43,33.0,Male,124.0,Venom Claymore,1.29
76,Mindadaran26,13.0,Female,88.0,"Emberling, Defender of Delusions",3.75
77,Lirtosia63,34.0,Male,20.0,Netherbane,3.27
78,Haillyrgue51,7.0,Male,50.0,Dawn,4.6
79,Assjaskan56,26.0,Male,15.0,Soul Infused Crystal,2.96
